osm_id,name,advertising,lat,lon,geom_source
13112619620,(ohne Name),billboard,49.4191316,11.0360528,point
13112636127,(ohne Name),column,49.3817383,11.0371137,point
13112637574,(ohne Name),billboard,49.365019,11.0489676,point
13112642662,(ohne Name),billboard,49.3686357,11.0455347,point
13112646589,(ohne Name),billboard,49.3668425,11.047842,point
13113862677,(ohne Name),billboard,49.3957272,11.0382171,point
13113864030,(ohne Name),billboard,49.3944801,11.0382365,point
13113901324,(ohne Name),billboard,49.4212376,11.0350394,point
13113907013,(ohne Name),billboard,49.3512468,11.0564073,point
13113921891,(ohne Name),billboard,49.4088238,11.0354521,point
13113925283,(ohne Name),column,49.4054524,11.034975,point
13113925284,(ohne Name),billboard,49.420722,11.0339374,point
13114744677,(ohne Name),billboard,49.4272314,11.0128022,point
13114792783,(ohne Name),billboard,49.4244375,11.0092576,point
13114792784,(ohne Name),billboard,49.4237624,11.0116973,point
13114794308,(ohne Name),billboard,49.4227192,11.0137961,point
13118749641,(ohne Name),billboard,49.371418,11.0782242,point
13127008656,(ohne Name),billboard,49.4101198,11.0345031,point
13127014688,(ohne Name),column,49.3892226,11.0329444,point
13127017835,(ohne Name),billboard,49.3937933,11.0374031,point
13127030041,(ohne Name),billboard,49.3891176,11.0329112,point
13127050298,(ohne Name),billboard,49.3891734,11.0329243,point
13132904137,(ohne Name),poster_box,49.458105,11.0730616,point
13132928696,(ohne Name),poster_box,49.4581389,11.0729724,point
13132938647,(ohne Name),poster_box,49.4733439,11.0645856,point
13134456384,(ohne Name),poster_box,49.4509186,11.0666158,point
13134544134,(ohne Name),column,49.4512571,11.0665543,point
13173313014,(ohne Name),NA,49.5179266,11.0007592,point
13173971519,(ohne Name),sign,49.5185204,11.00084,point
13173971520,(ohne Name),NA,49.5170113,11.0024377,point
13173971521,(ohne Name),NA,49.5170118,11.0024487,point
13173971522,(ohne Name),NA,49.5181055,11.0023649,point
13175634653,(ohne Name),NA,49.5179208,11.0006434,point
13175634654,(ohne Name),NA,49.5179275,11.0007776,point
13175634665,(ohne Name),NA,49.518654,11.0022833,point
13175634666,(ohne Name),NA,49.5186101,11.00211,point
13175634667,(ohne Name),NA,49.5185945,11.0021494,point
13175634668,(ohne Name),NA,49.5185825,11.0021524,point
13180533412,(ohne Name),NA,49.5182507,11.0022102,point
13180533413,(ohne Name),NA,49.5182138,11.0022149,point
13184360087,(ohne Name),NA,49.5169728,11.0020676,point
13184360088,(ohne Name),NA,49.5169557,11.0020687,point
